,Year,Month,Day,Date In Fraction Of Year,Number of Sunspots,Standard Deviation,Observations,Indicator
0,1818,1,1,1818.001,-1,-1.0,0,1
1,1818,1,2,1818.004,-1,-1.0,0,1
2,1818,1,3,1818.007,-1,-1.0,0,1
3,1818,1,4,1818.01,-1,-1.0,0,1
4,1818,1,5,1818.0120000000002,-1,-1.0,0,1
5,1818,1,6,1818.015,-1,-1.0,0,1
6,1818,1,7,1818.0179999999998,-1,-1.0,0,1
7,1818,1,8,1818.021,65,10.2,1,1
8,1818,1,9,1818.023,-1,-1.0,0,1
9,1818,1,10,1818.026,-1,-1.0,0,1
10,1818,1,11,1818.029,-1,-1.0,0,1
11,1818,1,12,1818.0320000000002,-1,-1.0,0,1
12,1818,1,13,1818.0339999999999,37,7.7,1,1
13,1818,1,14,1818.037,-1,-1.0,0,1
14,1818,1,15,1818.04,-1,-1.0,0,1
15,1818,1,16,1818.0420000000001,-1,-1.0,0,1
16,1818,1,17,1818.045,77,11.1,1,1
17,1818,1,18,1818.0479999999998,98,12.6,1,1
18,1818,1,19,1818.0510000000002,105,13.0,1,1
19,1818,1,20,1818.0529999999999,-1,-1.0,0,1
20,1818,1,21,1818.056,-1,-1.0,0,1
21,1818,1,22,1818.059,-1,-1.0,0,1
22,1818,1,23,1818.0620000000001,-1,-1.0,0,1
23,1818,1,24,1818.0639999999999,-1,-1.0,0,1
24,1818,1,25,1818.067,25,6.3,1,1
25,1818,1,26,1818.07,-1,-1.0,0,1
26,1818,1,27,1818.0729999999999,-1,-1.0,0,1
27,1818,1,28,1818.075,38,7.8,1,1
28,1818,1,29,1818.078,20,5.7,1,1
29,1818,1,30,1818.0810000000001,-1,-1.0,0,1
30,1818,1,31,1818.0839999999998,-1,-1.0,0,1
31,1818,2,1,1818.086,-1,-1.0,0,1
32,1818,2,2,1818.089,-1,-1.0,0,1
33,1818,2,3,1818.092,17,5.2,1,1
34,1818,2,4,1818.095,-1,-1.0,0,1
35,1818,2,5,1818.0970000000002,20,5.7,1,1
36,1818,2,6,1818.1,25,6.3,1,1
37,1818,2,7,1818.1029999999998,-1,-1.0,0,1
38,1818,2,8,1818.105,-1,-1.0,0,1
39,1818,2,9,1818.108,87,11.8,1,1
40,1818,2,10,1818.111,-1,-1.0,0,1
41,1818,2,11,1818.114,-1,-1.0,0,1
42,1818,2,12,1818.116,-1,-1.0,0,1
43,1818,2,13,1818.119,192,17.5,1,1
44,1818,2,14,1818.122,73,10.8,1,1
45,1818,2,15,1818.125,82,11.4,1,1
46,1818,2,16,1818.1270000000002,28,6.7,1,1
47,1818,2,17,1818.13,-1,-1.0,0,1
48,1818,2,18,1818.1329999999998,-1,-1.0,0,1
49,1818,2,19,1818.136,0,2.0,1,1
50,1818,2,20,1818.138,-1,-1.0,0,1
51,1818,2,21,1818.141,0,2.0,1,1
52,1818,2,22,1818.144,-1,-1.0,0,1
53,1818,2,23,1818.1470000000002,0,2.0,1,1
54,1818,2,24,1818.149,-1,-1.0,0,1
55,1818,2,25,1818.152,0,2.0,1,1
56,1818,2,26,1818.155,0,2.0,1,1
57,1818,2,27,1818.158,0,2.0,1,1
58,1818,2,28,1818.16,-1,-1.0,0,1
59,1818,3,1,1818.1629999999998,-1,-1.0,0,1
60,1818,3,2,1818.1660000000002,-1,-1.0,0,1
61,1818,3,3,1818.168,-1,-1.0,0,1
62,1818,3,4,1818.171,-1,-1.0,0,1
63,1818,3,5,1818.174,-1,-1.0,0,1
64,1818,3,6,1818.1770000000001,28,6.7,1,1
65,1818,3,7,1818.1789999999999,-1,-1.0,0,1
66,1818,3,8,1818.182,-1,-1.0,0,1
67,1818,3,9,1818.185,-1,-1.0,0,1
68,1818,3,10,1818.1879999999999,48,8.8,1,1
69,1818,3,11,1818.19,-1,-1.0,0,1
70,1818,3,12,1818.193,-1,-1.0,0,1
71,1818,3,13,1818.1960000000001,-1,-1.0,0,1
72,1818,3,14,1818.1989999999998,32,7.1,1,1
73,1818,3,15,1818.201,25,6.3,1,1
74,1818,3,16,1818.204,47,8.7,1,1
75,1818,3,17,1818.207,-1,-1.0,0,1
76,1818,3,18,1818.21,43,8.3,1,1
77,1818,3,19,1818.2120000000002,0,2.0,1,1
78,1818,3,20,1818.215,0,2.0,1,1
79,1818,3,21,1818.2179999999998,85,11.7,1,1
80,1818,3,22,1818.221,-1,-1.0,0,1
81,1818,3,23,1818.223,52,9.1,1,1
82,1818,3,24,1818.226,80,11.3,1,1
83,1818,3,25,1818.229,-1,-1.0,0,1
84,1818,3,26,1818.2320000000002,-1,-1.0,0,1
85,1818,3,27,1818.234,57,9.5,1,1
86,1818,3,28,1818.237,48,8.8,1,1
87,1818,3,29,1818.24,48,8.8,1,1
88,1818,3,30,1818.2420000000002,-1,-1.0,0,1
89,1818,3,31,1818.245,-1,-1.0,0,1
90,1818,4,1,1818.2479999999998,-1,-1.0,0,1
91,1818,4,2,1818.251,-1,-1.0,0,1
92,1818,4,3,1818.253,-1,-1.0,0,1
93,1818,4,4,1818.256,18,5.4,1,1
94,1818,4,5,1818.259,55,9.4,1,1
95,1818,4,6,1818.2620000000002,38,7.8,1,1
96,1818,4,7,1818.264,-1,-1.0,0,1
97,1818,4,8,1818.267,38,7.8,1,1
98,1818,4,9,1818.27,60,9.8,1,1
99,1818,4,10,1818.273,62,9.9,1,1
100,1818,4,11,1818.275,67,10.3,1,1
101,1818,4,12,1818.2779999999998,52,9.1,1,1
102,1818,4,13,1818.281,43,8.3,1,1
103,1818,4,14,1818.2839999999999,47,8.7,1,1
104,1818,4,15,1818.286,68,10.5,1,1
105,1818,4,16,1818.289,82,11.4,1,1
106,1818,4,17,1818.2920000000001,-1,-1.0,0,1
107,1818,4,18,1818.295,65,10.2,1,1
108,1818,4,19,1818.297,53,9.3,1,1
109,1818,4,20,1818.3,-1,-1.0,0,1
110,1818,4,21,1818.3029999999999,-1,-1.0,0,1
111,1818,4,22,1818.305,-1,-1.0,0,1
112,1818,4,23,1818.308,-1,-1.0,0,1
113,1818,4,24,1818.3110000000001,28,6.7,1,1
114,1818,4,25,1818.3139999999999,43,8.3,1,1
115,1818,4,26,1818.316,87,11.8,1,1
116,1818,4,27,1818.319,92,12.1,1,1
117,1818,4,28,1818.3220000000001,82,11.4,1,1
118,1818,4,29,1818.325,65,10.2,1,1
119,1818,4,30,1818.3270000000002,63,10.1,1,1
120,1818,5,1,1818.33,63,10.1,1,1
121,1818,5,2,1818.3329999999999,73,10.8,1,1
122,1818,5,3,1818.336,87,11.8,1,1
123,1818,5,4,1818.338,-1,-1.0,0,1
