u_mag,g_mag,r_mag,i_mag,z_mag,ra,dec
20.533.161,17.968.031,16.827.314,16.373.095,16.091.063,1.900.012.612,2.191.061.999
18.894.476,17.674.576,17.208.895,17.033.516,1.697.294,1.900.023.299,2.187.464.109
18.290.901,17.022.612,16.625.498,16.431.305,16.399.673,1.900.122.402,2.170.299.891
19.784.182,17.820.679,17.003.235,16.721.306,16.541.569,1.900.129.122,2.366.791.335
18.874.607,17.638.632,17.120.625,16.907.972,16.849.592,1.900.129.511,2.479.750.668
1.786.754,16.639.681,16.141.216,15.965.429,1.592.807,1.900.224.422,2.475.205.129
188.792,17.440.918,16.783.993,16.498.568,16.322.937,1.900.249.522,225.581.132
18.352.959,16.790.821,1.615.914,15.892.138,15.750.802,1.900.229.745,224.904.706
1.913.571,1.717.157,16.468.216,16.240.795,16.100.643,1.900.189.976,2.331.983.953
18.790.855,17.476.933,17.014.111,1.679.092,16.637.476,1.900.243.252,2.335.194.988
19.145.519,16.804.733,15.933.923,15.629.789,15.496.177,1.900.129.405,2.040.670.432
1.817.034,17.356.983,17.053.757,16.946.266,16.887.997,1.900.578.442,2.401.144.393
19.677.872,17.954.597,17.324.135,17.123.587,17.010.965,1.900.289.198,2.149.413.875
17.438.683,16.251.499,15.854.064,15.743.556,15.747.505,1.900.272.084,2.272.588.675
17.936.586,16.434.299,15.833.981,1.557.057,15.441.114,1.900.293.909,2.352.488.071
18.883.848,17.980.923,17.684.792,17.611.734,17.569.311,1.900.651.283,2.348.945.729
1.704.129,15.772.053,15.495.051,15.349.021,15.351.124,1.900.567.512,2.172.943.023
18.358.896,17.211.678,17.078.781,17.004.826,16.935.291,1.900.673.669,2.255.219.875
179.025,16.526.434,15.972.104,15.741.626,15.595.447,1.900.676,2.249.044.534
20.398.233,17.731.331,16.401.684,15.739.979,15.403.962,190.055.263,2.294.013.784
17.929.996,16.880.173,16.482.742,16.353.615,16.206.572,1.900.616.968,2.346.151.675
